player_id,name,hometown,positions,year,height,weight,season_wins,season_losses,season_games,season_ppg,season_opp_ppg,season_total,season_opp_total,class,performances,height_inches,weight_lbs
-4473134068845321920,trey butts,"macon, ga.",ol,2023,"6'2""",280 lbs,0,0,9,26.11,0,235.0,0,so.,[],8.0,280.0
-4473134068845321920,trey butts,"macon, ga.",ol,2024,"6'2""",295 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,295.0
-6775392330516965028,aj miller,"rock hill, s.c.",dl,2020,"6'3""",280 lbs,0,0,5,29.6,0,148.0,0,fr.,[],9.0,280.0
-6775392330516965028,aj miller,"rock hill, s.c.",dl,2023,"6'3""",275 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],9.0,275.0
-6775392330516965028,aj miller,"rock hill, s.c.",dl,2024,"6'3""",280 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,280.0
-2283266503011656095,kaleb may,"mccalla, ala.",ol,2020,"6'4""",270 lbs,0,0,5,29.6,0,148.0,0,fr.,[],10.0,270.0
-2283266503011656095,kaleb may,"mccalla, ala.",ol,2023,"6'4""",270 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],10.0,270.0
-2283266503011656095,kaleb may,"mccalla, ala.",ol,2024,"6'4""",270 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,270.0
7927062458484654550,nehemiah pgouda,"douglasville, ga.",lb,2020,"6'1""",205 lbs,0,0,5,29.6,0,148.0,0,r-fr.,[],7.0,205.0
7927062458484654550,nehemiah pgouda,"douglasville, ga.",lb,2024,"6'1""",205 lbs,0,0,4,12.25,0,49.0,0,,[],7.0,205.0
-8208251025831480917,joshua pgouda,"douglasville, ga.",lb,2020,"5'11""",225 lbs,0,0,5,29.6,0,148.0,0,fr.,[],16.0,225.0
-8208251025831480917,joshua pgouda,"douglasville, ga.",lb,2024,"5'11""",225 lbs,0,0,4,12.25,0,49.0,0,,[],16.0,225.0
9059273523062766877,mason bowers,"high point, n.c.",ol,2020,"6'4""",295 lbs,0,0,5,29.6,0,148.0,0,r-jr.,[],10.0,295.0
9059273523062766877,mason bowers,"high point, n.c.",ol,2024,"6'4""",295 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,295.0
8065349365819184974,ben blanton,"cumming, ga.",ls,2020,"5'10""",210 lbs,0,0,5,29.6,0,148.0,0,fr.,[],15.0,210.0
8065349365819184974,ben blanton,"cumming, ga.",ls,2024,"5'10""",210 lbs,0,0,4,12.25,0,49.0,0,,[],15.0,210.0
-1802350854452106355,jahon myers,"luella, ga.",dl,2020,"6'3""",260 lbs,0,0,5,29.6,0,148.0,0,jr.,[],9.0,260.0
-1802350854452106355,jahon myers,"luella, ga.",dl,2021,"6'3""",250 lbs,0,0,13,32.85,0,427.0,0,r-jr.,[],9.0,250.0
-1802350854452106355,jahon myers,"luella, ga.",dl,2022,"6'3""",255 lbs,0,0,11,27.45,0,302.0,0,so.,[],9.0,255.0
