prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss_yards,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks,total_tackles,season
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2019
10.0,7.0,17.0,61.0,32.0,0.0,0.0,0.0,1.0,0.0,12,2021
8.0,4.0,12.0,30.0,30.0,0.0,0.0,1.0,0.0,0.0,23,2022
40.0,15.0,55.0,25.0,6.0,0.0,2.0,1.0,0.0,0.0,37,2019
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
8.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,2019
14.0,9.0,23.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,36,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021
1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,2021
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2019
2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,39,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
10.0,7.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2019
10.0,10.0,20.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,22,2021
8.0,14.0,22.0,9.0,7.0,0.0,0.0,0.0,1.0,1.0,16,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2021
4.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,2021
34.0,4.0,38.0,5.0,0.0,3.0,7.0,0.0,1.0,0.0,25,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021
0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2022
