name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"montgomery, markeith",2021,,70,195,"flintstone, ga.",db,12,5,19,14,33,1.0,0.0,2,4,0,1,0,1.0,0.0,12.0,3.0,21.0,4.0,25.0,1.5,6.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0
"montgomery, markeith",2022,,70,185,"flintstone, ga.",db,11,10,37,23,60,16.0,0.0,5,12,2,0,0,6.0,0.0,12.0,5.0,19.0,14.0,33.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0
"moore, peyton",2019,,74,237,"hoschton, ga.",dl,12,7,16,8,24,26.0,21.0,0,1,2,0,0,6.0,3.0,13.0,0.0,9.0,2.0,11.0,4.0,12.0,2.0,9.0,0.0,0.0,1.0,1.0,0.0
"moore, tyler",2019,,73,259,"phenix city, ala.",dl,12,5,7,12,19,5.0,0.0,0,0,0,2,0,1.5,0.0,10.0,0.0,10.0,4.0,14.0,3.0,9.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0
"moore, tyler",2021,,73,250,"phenix city, ala.",dl,13,5,11,12,23,2.0,0.0,0,0,3,1,0,1.0,1.0,12.0,5.0,7.0,12.0,19.0,1.5,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"morris, deontre",2022,,71,185,"atlanta, ga.",db,10,9,32,18,50,0.0,0.0,5,11,1,1,0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"murphy, jonathan",2021,,72,195,"los angeles, calif.",qb,7,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"murphy, jonathan",2022,,72,190,"los angeles, calif.",qb,6,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"myers, jahon",2022,,75,255,"luella, ga.",dl,11,10,13,16,29,32.0,22.0,0,0,1,0,0,7.0,3.0,13.0,1.0,6.0,6.0,12.0,2.5,23.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0
"nelson, clayton",2021,,72,185,"buford, ga.",wr,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
