name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"glover, kyle",2019,,71,204,"eastman, ga.",rb,14,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"glover, kyle",2021,,71,215,"eastman, ga.",rb,13,12,0,2,2,0.0,0.0,0,0,0,0,0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"grier, antavius",2018,,69,158,"jackson, ga.",rb,4,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"grier, antavius",2019,,69,158,"jackson, ga.",rb,10,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"haigler, will",2019,,73,206,"tallahassee, fla.",wr,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"haigler, will",2021,,73,210,"tallahassee, fla.",wr,13,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hallum, tyler",2023,sports marketing,71,180,"marietta, ga.",db,4,3,7,4,11,0.0,0.0,0,1,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"hallum, tyler",2024,sport management,71,190,"marietta, ga.",db,4,4,14,2,16,0.0,0.0,0,1,1,0,0,0.0,0.0,4.0,3.0,7.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"hamilton, five",2023,business entreprenuer,70,165,"stockbridge, ga.",db,2,1,1,0,1,0.0,0.0,0,1,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"hancock, kj",2018,,73,210,"suwanee, ga.",wr,12,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"hancock, kj",2019,,73,210,"suwanee, ga.",wr,14,3,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hand, dylan",2021,,72,195,"dacula, ga.",db,10,0,4,3,7,0.0,0.0,1,2,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"hand, dylan",2022,,72,195,"dacula, ga.",db,9,1,4,2,6,0.0,0.0,1,1,0,0,0,0.0,0.0,10.0,0.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
"hannon, dylan",2023,finance,74,275,"alpharetta, ga.",dl,2,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"hargrove, trey",2023,pyschology,71,210,"waycross, ga.",lb,1,0,0,2,2,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"harper, xavier",2017,,72,190,"hoschton, ga.",wr,12,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"harper, xavier",2018,,72,194,"hoschton, ga.",wr,12,10,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"harris, ryan",2021,,70,180,"irmo, s.c.",db,13,1,4,2,6,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"harris, ryan",2022,,70,170,"irmo, s.c.",db,3,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hazel-polkinghorne, finn",2021,,76,280,"williamstown, australia",dl,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"henderson, sean",2018,,73,181,"norcross, ga.",k,4,0,1,3,4,2.0,0.0,0,0,0,0,0,1.0,0.0,,,,,,,,,,,,,,
"henderson, sean",2019,,73,181,"norcross, ga.",k,14,6,26,17,43,2.0,0.0,0,0,1,0,0,2.0,0.0,4.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"henderson, troy",2018,,71,223,"cleveland, ohio",lb,3,0,1,3,4,2.0,0.0,0,0,0,0,0,1.0,0.0,,,,,,,,,,,,,,
"henderson, troy",2019,,71,223,"cleveland, ohio",lb,14,0,26,17,43,2.0,0.0,0,0,1,0,0,2.0,0.0,3.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"henkle, taylor",2017,,71,192,"marietta, ga.",db,14,14,41,16,57,6.0,0.0,3,5,1,2,0,3.5,0.0,,,,,,,,,,,,,,
"hill, xavier",2021,,74,200,"pleasant grove, ala.",wr,9,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"holland, darnell",2017,,70,190,"bowdon, ga.",rb,14,13,4,1,5,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"holland, darnell",2018,,70,195,"bowdon, ga.",rb,13,13,4,1,5,0.0,0.0,0,0,0,0,0,0.0,0.0,14.0,13.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hopson, baron",2023,civil engineering,73,215,"leesburg, ga.",lb,4,4,11,13,24,2.0,0.0,0,1,0,0,0,1.5,0.0,,,,,,,,,,,,,,
"hopson, baron",2024,civil engineering,73,215,"leesburg, ga.",lb,3,3,5,11,16,0.0,0.0,0,1,0,0,0,0.0,0.0,4.0,4.0,11.0,13.0,24.0,1.5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"jackson, adrian",2018,,74,221,"hoschton, ga.",te,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jackson, adrian",2019,,74,221,"hoschton, ga.",te,16,7,0,0,0,0.0,0.0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jackson, jalen",2018,,74,197,"powder springs, ga.",wr,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jackson, jalen",2019,,74,197,"powder springs, ga.",wr,14,0,0,0,0,0.0,0.0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jarrett, jaylan",2023,sport management,74,305,"pike road, ala.",dl,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jarrett, jaylan",2024,sport management,74,295,"pike road, ala.",dl,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jenkins, montrel",2021,,72,200,"acworth, ga.",lb,8,0,1,3,4,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jenkins, montrel",2022,,72,215,"acworth, ga.",lb,11,0,18,18,36,7.0,2.0,0,0,1,0,0,2.5,1.0,8.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jenkins, william",2019,,72,200,"decatur, ga.",lb,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
